roll no,Name,Chemistry,Physics,Math,Percentage
101,Aliza,50,23,87,53.3
102,Fareed,45,24,88,52.3
103,Basit,46,25,89,53.3
104,Abdullah,47,26,90,54.3
105,Ali,48,27,67,47.3
106,Mubashir,49,28,68,48.3
107,Waleed,50,29,69,49.3
108,Mansoor,51,30,70,50.3
109,Zain,52,31,71,51.3
110,Mohsin,53,67,72,64.0
111,Shahmeer,54,68,73,65.0
112,Rao,55,69,74,66.0
113,Aurangzeb,56,70,75,67.0
114,Zeeshan,57,71,76,68.0
115,Hamna,58,72,77,69.0
116,Hamza,59,73,78,70.0
117,Khalid,60,74,79,71.0
118,Behroz,61,75,80,72.0
119,Justin,62,76,81,73.0
120,Danish,63,77,82,74.0
121,Kainat,64,78,83,75.0
122,Sameer,65,79,84,76.0
123,Raza,66,80,85,77.0
124,Kumar,67,81,86,78.0
125,Komal,68,82,87,79.0
126,Erum,69,83,88,80.0
127,Faiza,70,84,89,81.0
128,Saeed,71,85,90,82.0
129,Waqar,72,86,91,83.0
130,Wali,73,87,92,84.0
131,Wajid,74,88,93,85.0
132,Waseeb,75,89,94,86.0
133,Shiza,76,90,95,87.0
134,Shabina,77,91,96,88.0
135,Shazain,78,55,97,76.7
136,Lubna,79,61,98,79.3
137,Laiba,80,88,78,82.0
138,Khursheed,81,56,45,60.7
139,Ali,82,89,46,72.3
140,Aiza,83,45,89,72.3
141,Aiman,84,92,78,84.7
142,Yasmeen,85,36,56,59.0
143,Tasbeel,86,78,78,80.7
144,Laraib,87,56,54,65.7
145,Saleem,88,78,78,81.3
146,Bismil,89,89,46,74.7
147,Batool,90,56,79,75.0
148,Iqra,91,33,46,56.7
149,Zarnish,92,78,45,71.7
150,Zara,83,45,56,61.3
